date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:11	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://stationarybikesgh.github.io/robots.txt		(from )
17:05:11	88386/88386	U-----	200	untouched ('OK')	text/html	etag:W/%226533c61b-15942%22	https://stationarybikesgh.github.io/	C:/Users/Administrator/Desktop/d/stationarybikesgh.github.io/index.html	(from )
17:05:12	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Sep%202024%2017:09:00%20GMT	http://donisco.xyz/wp-content/plugins/woocommerce/assets/css/twenty-twenty-one.css?ver=8.1.1	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/woocommerce/assets/css/twenty-twenty-one.712c8.delayed	(from https://stationarybikesgh.github.io/)
17:05:13	112419/112419	U-----	200	untouched ('OK')	text/css	date:Wed,%2024%20Jul%202024%2001:53:18%20GMT	https://donisco.xyz/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-includes/css/dist/block-library/style.min9b30.css	(from https://stationarybikesgh.github.io/)
17:05:13	10351/10351	U-----	200	untouched ('OK')	text/css	date:Wed,%2030%20Aug%202023%2001:45:24%20GMT	https://donisco.xyz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.9.3	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style71f0.css	(from https://stationarybikesgh.github.io/)
17:05:14	273024/273024	U-----	200	untouched ('OK')	text/css	date:Wed,%2030%20Aug%202023%2001:45:24%20GMT	https://donisco.xyz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style.css?ver=10.9.3	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style71f0.css	(from https://stationarybikesgh.github.io/)
17:05:14	2812/2812	U-----	200	untouched ('OK')	text/css	date:Mon,%2009%20Oct%202023%2013:28:22%20GMT	https://donisco.xyz/wp-content/plugins/salert//assets/frontend/css/style.css?ver=6.3.1	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/salert/assets/frontend/css/style9b30.css	(from https://stationarybikesgh.github.io/)
17:05:14	17688/17688	U-----	200	untouched ('OK')	text/css	date:Tue,%2028%20Nov%202023%2021:35:56%20GMT	https://donisco.xyz/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.1.1	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/woocommerce/assets/css/woocommerce-layout12c8.css	(from https://stationarybikesgh.github.io/)
17:05:14	7043/7043	U-----	200	untouched ('OK')	text/css	date:Wed,%2030%20Aug%202023%2001:45:24%20GMT	https://donisco.xyz/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.1.1	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen12c8.css	(from https://stationarybikesgh.github.io/)
17:05:14	54019/54019	U-----	200	untouched ('OK')	text/css	date:Tue,%2026%20Mar%202024%2016:56:02%20GMT	https://donisco.xyz/wp-content/plugins/woocommerce/assets/css/twenty-twenty-one.css?ver=8.1.1	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/woocommerce/assets/css/twenty-twenty-one12c8.css	(from https://stationarybikesgh.github.io/)
17:05:14	25427/25427	U-----	200	untouched ('OK')	text/css	date:Mon,%2009%20Oct%202023%2013:28:22%20GMT	https://donisco.xyz/wp-content/plugins/salert//assets/backend/css/animate.css?ver=1.2.4	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/salert/assets/backend/css/animate9030.css	(from https://stationarybikesgh.github.io/)
17:05:15	156298/156298	U-----	200	untouched ('OK')	text/css	date:Tue,%2016%20Jul%202024%2017:32:10%20GMT	https://donisco.xyz/wp-content/themes/twentytwentyone/style.css?ver=1.8	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/themes/twentytwentyone/style4b1d.css	(from https://stationarybikesgh.github.io/)
17:05:30	2897/2897	U-----	200	untouched ('OK')	text/css	date:Tue,%2024%20May%202022%2023:23:54%20GMT	https://donisco.xyz/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.8	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/themes/twentytwentyone/assets/css/print4b1d.css	(from https://stationarybikesgh.github.io/)
17:05:30	19820/19820	U-----	200	untouched ('OK')	text/css	date:Mon,%2027%20May%202024%2013:32:08%20GMT	https://donisco.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Users/Administrator/Desktop/d/donisco.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://stationarybikesgh.github.io/)
